ITEM 1; Pulidora; HERRAMIENTAS
ITEM 622; Tarugo; FIJACIÓN
ITEM 623; Manguera; PLOMERÍA
ITEM 624; Toma corriente; ELECTRICIDAD
ITEM 625; Brocha; PINTURA
ITEM 626; Perno; FIJACIÓN
ITEM 627; Arandela; FIJACIÓN
ITEM 628; Remache; FIJACIÓN
ITEM 629; Removedor de pintura; PINTURA
ITEM 630; Taladro; HERRAMIENTAS
ITEM 631; Lentes de seguridad; SEGURIDAD
ITEM 632; Grapa; FIJACIÓN
ITEM 633; Clavo; FIJACIÓN
ITEM 634; Removedor de pintura; PINTURA
ITEM 635; Arnés; SEGURIDAD
ITEM 636; Bandeja para pintura; PINTURA
ITEM 637; Tuerca; FIJACIÓN
ITEM 638; Tornillo; FIJACIÓN
ITEM 639; Rodillo; PINTURA
ITEM 640; Canaleta; ELECTRICIDAD
ITEM 641; Casco; SEGURIDAD
ITEM 642; Toma corriente; ELECTRICIDAD
ITEM 643; Cepillo metálico; HERRAMIENTAS
ITEM 644; Prensa; HERRAMIENTAS
ITEM 645; Arandela; FIJACIÓN
ITEM 646; Tubo PVC; PLOMERÍA
ITEM 647; Trampa de agua; PLOMERÍA
ITEM 648; Bandeja para pintura; PINTURA
ITEM 649; Mascarilla; SEGURIDAD
ITEM 650; Chaveta; FIJACIÓN
ITEM 651; Grapa; FIJACIÓN
ITEM 652; Pulidora; HERRAMIENTAS
ITEM 653; Toma corriente; ELECTRICIDAD
ITEM 654; Interruptor; ELECTRICIDAD
ITEM 655; Hacha; HERRAMIENTAS
ITEM 656; Chaveta; FIJACIÓN
ITEM 657; Interruptor; ELECTRICIDAD
ITEM 658; Lentes de seguridad; SEGURIDAD
ITEM 659; Codo PVC; PLOMERÍA
ITEM 660; Removedor de pintura; PINTURA
ITEM 661; Prensa; HERRAMIENTAS
ITEM 662; Foco LED; ELECTRICIDAD
ITEM 663; Pintura; PINTURA
ITEM 664; Codo PVC; PLOMERÍA
ITEM 665; Perno; FIJACIÓN
ITEM 666; Manguera; PLOMERÍA
ITEM 667; Casco; SEGURIDAD
ITEM 668; Removedor de pintura; PINTURA
ITEM 669; Bandeja para pintura; PINTURA
ITEM 670; Hacha; HERRAMIENTAS
ITEM 671; Brocha; PINTURA
ITEM 672; Lámpara; ELECTRICIDAD
ITEM 673; Manguera; PLOMERÍA
ITEM 674; Chaveta; FIJACIÓN
ITEM 675; Disyuntor; ELECTRICIDAD
ITEM 676; Arnés; SEGURIDAD
ITEM 677; Pulidora; HERRAMIENTAS
ITEM 678; Tornillo; FIJACIÓN
ITEM 679; Canaleta; ELECTRICIDAD
ITEM 680; Llave Allen; HERRAMIENTAS
ITEM 681; Taladro; HERRAMIENTAS
ITEM 682; Remache; FIJACIÓN
ITEM 683; Arnés; SEGURIDAD
ITEM 684; Casco; SEGURIDAD
ITEM 685; Lija; PINTURA
ITEM 686; Tuerca; FIJACIÓN
ITEM 687; Lámpara; ELECTRICIDAD
ITEM 688; Canaleta; ELECTRICIDAD
ITEM 689; Clavo; FIJACIÓN
ITEM 690; Multímetro; ELECTRICIDAD
ITEM 691; Nivel; HERRAMIENTAS
ITEM 692; Brocha; PINTURA
ITEM 693; Brocha; PINTURA
ITEM 694; Botas; SEGURIDAD
ITEM 695; Llave Allen; HERRAMIENTAS
ITEM 696; Canaleta; ELECTRICIDAD
ITEM 697; Rodillo; PINTURA
ITEM 698; Remache; FIJACIÓN
ITEM 699; Chaleco reflectivo; SEGURIDAD
ITEM 700; Rodillo; PINTURA
ITEM 701; Martillo; HERRAMIENTAS
ITEM 702; Trampa de agua; PLOMERÍA
ITEM 703; Multímetro; ELECTRICIDAD
ITEM 704; T de PVC; PLOMERÍA
ITEM 705; Trampa de agua; PLOMERÍA
ITEM 706; Caja de herramientas; HERRAMIENTAS
ITEM 707; Rodillo; PINTURA
ITEM 708; Tarugo; FIJACIÓN
ITEM 709; Taladro; HERRAMIENTAS
ITEM 710; Unión roscada; PLOMERÍA
ITEM 711; Tubo PVC; PLOMERÍA
ITEM 712; Chaveta; FIJACIÓN
ITEM 713; T de PVC; PLOMERÍA
ITEM 714; Toma corriente; ELECTRICIDAD
ITEM 715; Multímetro; ELECTRICIDAD
ITEM 716; Casco; SEGURIDAD
ITEM 717; Mascarilla; SEGURIDAD
ITEM 718; Disyuntor; ELECTRICIDAD
ITEM 719; Manguera; PLOMERÍA
ITEM 720; Arandela; FIJACIÓN
ITEM 721; Llave Allen; HERRAMIENTAS
ITEM 722; Guantes; SEGURIDAD
ITEM 723; Removedor de pintura; PINTURA
ITEM 724; Enchufe; ELECTRICIDAD
ITEM 725; Anclaje; FIJACIÓN
ITEM 726; Arnés; SEGURIDAD
ITEM 727; Pistola de pintura; PINTURA
ITEM 728; Interruptor; ELECTRICIDAD
ITEM 729; Toma corriente; ELECTRICIDAD
ITEM 730; Clavo; FIJACIÓN
ITEM 731; Tubo PVC; PLOMERÍA
ITEM 732; Mascarilla; SEGURIDAD
ITEM 733; Remache; FIJACIÓN
ITEM 734; Válvula de bola; PLOMERÍA
ITEM 735; Interruptor; ELECTRICIDAD
ITEM 736; Brocha; PINTURA
ITEM 737; Manguera; PLOMERÍA
ITEM 738; Toma corriente; ELECTRICIDAD
ITEM 739; Foco LED; ELECTRICIDAD
ITEM 740; Disolvente; PINTURA
ITEM 741; Codo PVC; PLOMERÍA
ITEM 742; Llave de paso; PLOMERÍA
ITEM 743; Pintura; PINTURA
ITEM 744; Botas; SEGURIDAD
ITEM 745; Casco; SEGURIDAD
ITEM 746; Arnés; SEGURIDAD
ITEM 747; Perno; FIJACIÓN
ITEM 748; Cincel; HERRAMIENTAS
ITEM 749; Llave de paso; PLOMERÍA
ITEM 750; Bandeja para pintura; PINTURA
ITEM 751; Disolvente; PINTURA
ITEM 752; Cincel; HERRAMIENTAS
ITEM 753; T de PVC; PLOMERÍA
ITEM 754; Pistola de pintura; PINTURA
ITEM 755; Trampa de agua; PLOMERÍA
ITEM 756; Canaleta; ELECTRICIDAD
ITEM 757; Cinta teflón; PLOMERÍA
ITEM 758; Manguera; PLOMERÍA
ITEM 759; Tuerca; FIJACIÓN
ITEM 760; Guantes; SEGURIDAD
ITEM 761; Botas; SEGURIDAD
ITEM 762; Válvula de bola; PLOMERÍA
ITEM 763; Pintura; PINTURA
ITEM 764; Chaveta; FIJACIÓN
ITEM 765; Pistola de pintura; PINTURA
ITEM 766; Bandeja para pintura; PINTURA
ITEM 767; Lámpara; ELECTRICIDAD
ITEM 768; Botas; SEGURIDAD
ITEM 769; Cables eléctricos; ELECTRICIDAD
ITEM 770; Enchufe; ELECTRICIDAD
ITEM 771; Brocha; PINTURA
ITEM 772; Pintura; PINTURA
ITEM 773; Tornillo; FIJACIÓN
ITEM 774; Clavo; FIJACIÓN
ITEM 775; Disolvente; PINTURA
ITEM 776; Cinta teflón; PLOMERÍA
ITEM 777; Anclaje; FIJACIÓN
ITEM 778; Cinta teflón; PLOMERÍA
ITEM 779; Chaleco reflectivo; SEGURIDAD
ITEM 780; T de PVC; PLOMERÍA
ITEM 781; Válvula de bola; PLOMERÍA
ITEM 782; Disolvente; PINTURA
ITEM 783; Lámpara; ELECTRICIDAD
ITEM 784; Trampa de agua; PLOMERÍA
ITEM 785; Bandeja para pintura; PINTURA
ITEM 786; Mascarilla; SEGURIDAD
ITEM 787; Foco LED; ELECTRICIDAD
ITEM 788; Perno; FIJACIÓN
ITEM 789; Clavo; FIJACIÓN
ITEM 790; Arandela; FIJACIÓN
ITEM 791; Manguera; PLOMERÍA
ITEM 792; Arandela; FIJACIÓN
ITEM 793; Clavo; FIJACIÓN
ITEM 794; Arnés; SEGURIDAD
ITEM 795; Casco; SEGURIDAD
ITEM 796; Arnés; SEGURIDAD
ITEM 797; Perno; FIJACIÓN
ITEM 798; Tarugo; FIJACIÓN
ITEM 799; Enchufe; ELECTRICIDAD
ITEM 800; Grifo; PLOMERÍA
ITEM 801; Lima; HERRAMIENTAS
ITEM 802; Lentes de seguridad; SEGURIDAD
ITEM 803; Tubo PVC; PLOMERÍA
ITEM 804; Botas; SEGURIDAD
ITEM 805; Foco LED; ELECTRICIDAD
ITEM 806; Toma corriente; ELECTRICIDAD
ITEM 807; Grifo; PLOMERÍA
ITEM 808; Pistola de pintura; PINTURA
ITEM 809; Tarugo; FIJACIÓN
ITEM 810; Prensa; HERRAMIENTAS
ITEM 811; Grapa; FIJACIÓN
ITEM 812; Brocha; PINTURA
ITEM 813; Trampa de agua; PLOMERÍA
ITEM 814; Prensa; HERRAMIENTAS
ITEM 815; Rodillo; PINTURA
ITEM 816; Tablero eléctrico; ELECTRICIDAD
ITEM 817; Perno; FIJACIÓN
ITEM 818; Disyuntor; ELECTRICIDAD
ITEM 819; Tornillo; FIJACIÓN
ITEM 820; Remache; FIJACIÓN
ITEM 821; Clavo; FIJACIÓN
ITEM 822; Mascarilla; SEGURIDAD
ITEM 823; Prensa; HERRAMIENTAS
ITEM 824; Sierra eléctrica; HERRAMIENTAS
ITEM 825; Casco; SEGURIDAD
ITEM 826; Removedor de pintura; PINTURA
ITEM 827; Pintura; PINTURA
ITEM 828; Foco LED; ELECTRICIDAD
ITEM 829; Rodillo; PINTURA
ITEM 830; Tapones auditivos; SEGURIDAD
ITEM 831; Llave de paso; PLOMERÍA
ITEM 832; Remache; FIJACIÓN
ITEM 833; Anclaje; FIJACIÓN
ITEM 834; Unión roscada; PLOMERÍA
ITEM 835; Tablero eléctrico; ELECTRICIDAD
ITEM 836; Pistola de pintura; PINTURA
ITEM 837; Destornillador; HERRAMIENTAS
ITEM 838; Llave Allen; HERRAMIENTAS
ITEM 839; Toma corriente; ELECTRICIDAD
ITEM 840; Bandeja para pintura; PINTURA
ITEM 841; Válvula de bola; PLOMERÍA
ITEM 842; Removedor de pintura; PINTURA
ITEM 843; Tuerca; FIJACIÓN
ITEM 844; Trampa de agua; PLOMERÍA
ITEM 845; Arandela; FIJACIÓN
ITEM 846; Cables eléctricos; ELECTRICIDAD
ITEM 847; Bandeja para pintura; PINTURA
ITEM 848; T de PVC; PLOMERÍA
ITEM 849; Llave de paso; PLOMERÍA
ITEM 850; Codo PVC; PLOMERÍA
ITEM 851; Disyuntor; ELECTRICIDAD
ITEM 852; Mascarilla; SEGURIDAD
ITEM 853; Botas; SEGURIDAD
ITEM 854; Perno; FIJACIÓN
ITEM 855; Cincel; HERRAMIENTAS
ITEM 856; Pistola de pintura; PINTURA
ITEM 857; Casco; SEGURIDAD
ITEM 858; Botas; SEGURIDAD
ITEM 859; Trampa de agua; PLOMERÍA
ITEM 860; Casco; SEGURIDAD
ITEM 861; Trampa de agua; PLOMERÍA
ITEM 862; Mascarilla; SEGURIDAD
ITEM 863; Martillo; HERRAMIENTAS
ITEM 864; Multímetro; ELECTRICIDAD
ITEM 865; Casco; SEGURIDAD
ITEM 866; Codo PVC; PLOMERÍA
ITEM 867; Llave de paso; PLOMERÍA
ITEM 868; Disolvente; PINTURA
ITEM 869; Brocha; PINTURA
ITEM 870; Unión roscada; PLOMERÍA
ITEM 871; Pala; HERRAMIENTAS
ITEM 872; Válvula de bola; PLOMERÍA
ITEM 873; Pistola de pintura; PINTURA
ITEM 874; Bandeja para pintura; PINTURA
ITEM 875; Multímetro; ELECTRICIDAD
ITEM 876; Disyuntor; ELECTRICIDAD
ITEM 877; Pistola de pintura; PINTURA
ITEM 878; Removedor de pintura; PINTURA
ITEM 879; Escuadra; HERRAMIENTAS
ITEM 880; Tuerca; FIJACIÓN
ITEM 881; Tornillo; FIJACIÓN
ITEM 882; Pistola de pintura; PINTURA
ITEM 883; Bandeja para pintura; PINTURA
ITEM 884; Disolvente; PINTURA
ITEM 885; Guantes; SEGURIDAD
ITEM 886; Enchufe; ELECTRICIDAD
ITEM 887; Mascarilla; SEGURIDAD
ITEM 888; Tablero eléctrico; ELECTRICIDAD
ITEM 889; Soldador; HERRAMIENTAS
ITEM 890; Tuerca; FIJACIÓN
ITEM 891; Llave de paso; PLOMERÍA
ITEM 892; Codo PVC; PLOMERÍA
ITEM 893; Pistola de pintura; PINTURA
ITEM 894; Lija; PINTURA
ITEM 895; Canaleta; ELECTRICIDAD
ITEM 896; Lámpara; ELECTRICIDAD
ITEM 897; Llave Allen; HERRAMIENTAS
ITEM 898; Tarugo; FIJACIÓN
ITEM 899; Multímetro; ELECTRICIDAD
ITEM 900; Pintura; PINTURA
ITEM 901; Pala; HERRAMIENTAS
ITEM 902; Manguera; PLOMERÍA
ITEM 903; Bandeja para pintura; PINTURA
ITEM 904; Llave inglesa; HERRAMIENTAS
ITEM 905; Pala; HERRAMIENTAS
ITEM 906; Lija; PINTURA
ITEM 907; Rodillo; PINTURA
ITEM 908; Tablero eléctrico; ELECTRICIDAD
ITEM 909; T de PVC; PLOMERÍA
ITEM 910; Soldador; HERRAMIENTAS
ITEM 911; Toma corriente; ELECTRICIDAD
ITEM 912; Lentes de seguridad; SEGURIDAD
ITEM 913; Lentes de seguridad; SEGURIDAD
ITEM 914; Nivel; HERRAMIENTAS
ITEM 915; Trampa de agua; PLOMERÍA
ITEM 916; Martillo; HERRAMIENTAS
ITEM 917; Tablero eléctrico; ELECTRICIDAD
ITEM 918; Lija; PINTURA
ITEM 919; Rodillo; PINTURA
ITEM 920; Removedor de pintura; PINTURA
ITEM 921; Removedor de pintura; PINTURA
ITEM 922; Cables eléctricos; ELECTRICIDAD
ITEM 923; Pistola de pintura; PINTURA
ITEM 924; Tablero eléctrico; ELECTRICIDAD
ITEM 925; Brocha; PINTURA
ITEM 926; Foco LED; ELECTRICIDAD
ITEM 927; Válvula de bola; PLOMERÍA
ITEM 928; Chaleco reflectivo; SEGURIDAD
ITEM 929; Foco LED; ELECTRICIDAD
ITEM 930; Destornillador; HERRAMIENTAS
ITEM 931; Removedor de pintura; PINTURA
ITEM 932; Interruptor; ELECTRICIDAD
ITEM 933; Taladro; HERRAMIENTAS
ITEM 934; Pintura; PINTURA
ITEM 935; Martillo; HERRAMIENTAS
ITEM 936; Chaleco reflectivo; SEGURIDAD
ITEM 937; Botas; SEGURIDAD
ITEM 938; Llave de paso; PLOMERÍA
ITEM 939; Bandeja para pintura; PINTURA
ITEM 940; Chaveta; FIJACIÓN
ITEM 941; Unión roscada; PLOMERÍA
ITEM 942; Tarugo; FIJACIÓN
ITEM 943; Grapa; FIJACIÓN
ITEM 944; Botas; SEGURIDAD
ITEM 945; Cables eléctricos; ELECTRICIDAD
ITEM 946; Bandeja para pintura; PINTURA
ITEM 947; Martillo; HERRAMIENTAS
ITEM 948; Codo PVC; PLOMERÍA
ITEM 949; Clavo; FIJACIÓN
ITEM 950; Pulidora; HERRAMIENTAS
ITEM 951; Casco; SEGURIDAD
ITEM 952; Chaleco reflectivo; SEGURIDAD
ITEM 953; Arnés; SEGURIDAD
ITEM 954; Tarugo; FIJACIÓN
ITEM 955; Llave de paso; PLOMERÍA
ITEM 956; Unión roscada; PLOMERÍA
ITEM 957; Tarugo; FIJACIÓN
ITEM 958; Bandeja para pintura; PINTURA
ITEM 959; Lentes de seguridad; SEGURIDAD
ITEM 960; Flexómetro; HERRAMIENTAS
ITEM 961; Flexómetro; HERRAMIENTAS
ITEM 962; Foco LED; ELECTRICIDAD
ITEM 963; Disyuntor; ELECTRICIDAD
ITEM 964; Removedor de pintura; PINTURA
ITEM 965; Tuerca; FIJACIÓN
ITEM 966; Codo PVC; PLOMERÍA
ITEM 967; Rodillo; PINTURA
ITEM 968; Enchufe; ELECTRICIDAD
ITEM 969; Cincel; HERRAMIENTAS
ITEM 970; Cables eléctricos; ELECTRICIDAD
ITEM 971; Anclaje; FIJACIÓN
ITEM 972; Toma corriente; ELECTRICIDAD
ITEM 973; Cincel; HERRAMIENTAS
ITEM 974; Escuadra; HERRAMIENTAS
ITEM 975; Tapones auditivos; SEGURIDAD
ITEM 976; Pulidora; HERRAMIENTAS
ITEM 977; Arnés; SEGURIDAD
ITEM 978; Llave de paso; PLOMERÍA
ITEM 979; Lámpara; ELECTRICIDAD
ITEM 980; Chaleco reflectivo; SEGURIDAD
ITEM 981; Mascarilla; SEGURIDAD
ITEM 982; Brocha; PINTURA
ITEM 983; Remache; FIJACIÓN
ITEM 984; Llave de paso; PLOMERÍA
ITEM 985; Casco; SEGURIDAD
ITEM 986; Llave de paso; PLOMERÍA
ITEM 987; Lámpara; ELECTRICIDAD
ITEM 988; Unión roscada; PLOMERÍA
ITEM 989; Cincel; HERRAMIENTAS
ITEM 990; Disolvente; PINTURA
ITEM 991; Chaleco reflectivo; SEGURIDAD
ITEM 992; Casco; SEGURIDAD
ITEM 993; Pala; HERRAMIENTAS
ITEM 994; Grapa; FIJACIÓN
ITEM 995; Clavo; FIJACIÓN
ITEM 996; Llave de paso; PLOMERÍA
ITEM 997; Removedor de pintura; PINTURA
ITEM 998; Arnés; SEGURIDAD
ITEM 999; Llave Allen; HERRAMIENTAS
ITEM 1000; Rodillo; PINTURA
ITEM 1001; Multímetro; ELECTRICIDAD
ITEM 1002; Disyuntor; ELECTRICIDAD
ITEM 1003; Chaleco reflectivo; SEGURIDAD
ITEM 1004; Clavo; FIJACIÓN
ITEM 1005; Llave de paso; PLOMERÍA
ITEM 1006; Lámpara; ELECTRICIDAD
ITEM 1007; Tubo PVC; PLOMERÍA
ITEM 1008; Remache; FIJACIÓN
ITEM 1009; Perno; FIJACIÓN
ITEM 1010; Botas; SEGURIDAD
ITEM 1011; Brocha; PINTURA
ITEM 1012; Caja de herramientas; HERRAMIENTAS
ITEM 1013; Cinta teflón; PLOMERÍA
ITEM 1014; Pala; HERRAMIENTAS
ITEM 1015; Manguera; PLOMERÍA
ITEM 1016; Escuadra; HERRAMIENTAS
ITEM 1017; Removedor de pintura; PINTURA
ITEM 1018; Toma corriente; ELECTRICIDAD
ITEM 1019; Rodillo; PINTURA
ITEM 1020; Escuadra; HERRAMIENTAS
ITEM 1021; Arandela; FIJACIÓN
ITEM 1022; Trampa de agua; PLOMERÍA
ITEM 1023; Perno; FIJACIÓN
ITEM 1024; Válvula de bola; PLOMERÍA
ITEM 1025; Lentes de seguridad; SEGURIDAD
ITEM 1026; Clavo; FIJACIÓN
ITEM 1027; Tornillo; FIJACIÓN
ITEM 1028; Martillo; HERRAMIENTAS
ITEM 1029; Mascarilla; SEGURIDAD
ITEM 1030; Cinta teflón; PLOMERÍA
ITEM 1031; Cinta teflón; PLOMERÍA
ITEM 1032; Tuerca; FIJACIÓN
ITEM 1033; Cables eléctricos; ELECTRICIDAD
ITEM 1034; Interruptor; ELECTRICIDAD
ITEM 1035; Foco LED; ELECTRICIDAD
ITEM 1036; Chaleco reflectivo; SEGURIDAD
ITEM 1037; Pulidora; HERRAMIENTAS
ITEM 1038; Toma corriente; ELECTRICIDAD
ITEM 1039; Disolvente; PINTURA
ITEM 1040; Manguera; PLOMERÍA
ITEM 1041; Hacha; HERRAMIENTAS
ITEM 1042; Botas; SEGURIDAD
ITEM 1043; Chaleco reflectivo; SEGURIDAD
ITEM 1044; Lámpara; ELECTRICIDAD
ITEM 1045; Tubo PVC; PLOMERÍA
ITEM 1046; Clavo; FIJACIÓN
ITEM 1047; Martillo; HERRAMIENTAS
ITEM 1048; Mascarilla; SEGURIDAD
ITEM 1049; Disolvente; PINTURA
ITEM 1050; Pala; HERRAMIENTAS
ITEM 1051; Tuerca; FIJACIÓN
ITEM 1052; Tuerca; FIJACIÓN
ITEM 1053; Destornillador; HERRAMIENTAS
ITEM 1054; Tablero eléctrico; ELECTRICIDAD
ITEM 1055; Perno; FIJACIÓN
ITEM 1056; Disolvente; PINTURA
ITEM 1057; Disyuntor; ELECTRICIDAD
ITEM 1058; Casco; SEGURIDAD
ITEM 1059; Pala; HERRAMIENTAS
ITEM 1060; Tornillo; FIJACIÓN
ITEM 1061; Pintura; PINTURA
ITEM 1062; Toma corriente; ELECTRICIDAD
ITEM 1063; Lima; HERRAMIENTAS
ITEM 1064; Manguera; PLOMERÍA
ITEM 1065; T de PVC; PLOMERÍA
ITEM 1066; Grapa; FIJACIÓN
ITEM 1067; Disyuntor; ELECTRICIDAD
ITEM 1068; Pala; HERRAMIENTAS
ITEM 1069; Removedor de pintura; PINTURA
ITEM 1070; Lija; PINTURA
ITEM 1071; Tubo PVC; PLOMERÍA
ITEM 1072; T de PVC; PLOMERÍA
ITEM 1073; Pintura; PINTURA
ITEM 1074; Canaleta; ELECTRICIDAD
ITEM 1075; Válvula de bola; PLOMERÍA
ITEM 1076; T de PVC; PLOMERÍA
ITEM 1077; Canaleta; ELECTRICIDAD
ITEM 1078; Cables eléctricos; ELECTRICIDAD
ITEM 1079; Codo PVC; PLOMERÍA
ITEM 1080; Tapones auditivos; SEGURIDAD
ITEM 1081; Válvula de bola; PLOMERÍA
ITEM 1082; Escuadra; HERRAMIENTAS
ITEM 1083; Caja de herramientas; HERRAMIENTAS
ITEM 1084; Manguera; PLOMERÍA
ITEM 1085; Lentes de seguridad; SEGURIDAD
ITEM 1086; Lámpara; ELECTRICIDAD
ITEM 1087; Manguera; PLOMERÍA
ITEM 1088; Nivel; HERRAMIENTAS
ITEM 1089; Flexómetro; HERRAMIENTAS
ITEM 1090; Chaleco reflectivo; SEGURIDAD
ITEM 1091; Botas; SEGURIDAD
ITEM 1092; Enchufe; ELECTRICIDAD
ITEM 1093; Disyuntor; ELECTRICIDAD
ITEM 1094; Cinta teflón; PLOMERÍA
ITEM 1095; Lima; HERRAMIENTAS
ITEM 1096; Guantes; SEGURIDAD
ITEM 1097; Botas; SEGURIDAD
ITEM 1098; Rodillo; PINTURA
ITEM 1099; Llave de paso; PLOMERÍA
ITEM 1100; Disolvente; PINTURA
ITEM 1101; Codo PVC; PLOMERÍA
ITEM 1102; Enchufe; ELECTRICIDAD
ITEM 1103; Disolvente; PINTURA
ITEM 1104; Toma corriente; ELECTRICIDAD
ITEM 1105; Disyuntor; ELECTRICIDAD
ITEM 1106; Remache; FIJACIÓN
ITEM 1107; Lija; PINTURA
ITEM 1108; T de PVC; PLOMERÍA
ITEM 1109; Pulidora; HERRAMIENTAS
ITEM 1110; Anclaje; FIJACIÓN
ITEM 1111; Unión roscada; PLOMERÍA
ITEM 1112; Trampa de agua; PLOMERÍA
ITEM 1113; Brocha; PINTURA
ITEM 1114; Pintura; PINTURA
ITEM 1115; Cincel; HERRAMIENTAS
ITEM 1116; Mascarilla; SEGURIDAD
ITEM 1117; Cinta teflón; PLOMERÍA
ITEM 1118; Arandela; FIJACIÓN
ITEM 1119; Lentes de seguridad; SEGURIDAD
ITEM 1120; Llave de paso; PLOMERÍA
ITEM 1121; Pistola de pintura; PINTURA
ITEM 1122; Cinta teflón; PLOMERÍA
ITEM 1123; Hacha; HERRAMIENTAS
ITEM 1124; Chaleco reflectivo; SEGURIDAD
ITEM 1125; Lija; PINTURA
ITEM 1126; Disyuntor; ELECTRICIDAD
ITEM 1127; Taladro; HERRAMIENTAS
ITEM 1128; Tablero eléctrico; ELECTRICIDAD
ITEM 1129; Manguera; PLOMERÍA
ITEM 1130; T de PVC; PLOMERÍA
ITEM 1131; Tornillo; FIJACIÓN
ITEM 1132; Escuadra; HERRAMIENTAS
ITEM 1133; Lija; PINTURA
ITEM 1134; Taladro; HERRAMIENTAS
ITEM 1135; Flexómetro; HERRAMIENTAS
ITEM 1136; Perno; FIJACIÓN
ITEM 1137; Botas; SEGURIDAD
ITEM 1138; Disolvente; PINTURA
ITEM 1139; Disolvente; PINTURA
ITEM 1140; Válvula de bola; PLOMERÍA
ITEM 1141; Válvula de bola; PLOMERÍA
ITEM 1142; Alicate; HERRAMIENTAS
ITEM 1143; Caja de herramientas; HERRAMIENTAS
ITEM 1144; Chaveta; FIJACIÓN
ITEM 1145; Anclaje; FIJACIÓN
ITEM 1146; Perno; FIJACIÓN
ITEM 1147; Soldador; HERRAMIENTAS
ITEM 1148; Enchufe; ELECTRICIDAD
ITEM 1149; Llave de paso; PLOMERÍA
ITEM 1150; Lija; PINTURA
ITEM 1151; Cinta teflón; PLOMERÍA
ITEM 1152; Arandela; FIJACIÓN
ITEM 1153; Cinta teflón; PLOMERÍA
ITEM 1154; Remache; FIJACIÓN
ITEM 1155; Unión roscada; PLOMERÍA
ITEM 1156; Trampa de agua; PLOMERÍA
ITEM 1157; Interruptor; ELECTRICIDAD
ITEM 1158; Chaleco reflectivo; SEGURIDAD
ITEM 1159; Tarugo; FIJACIÓN
ITEM 1160; Perno; FIJACIÓN
ITEM 1161; Llave de paso; PLOMERÍA
ITEM 1162; Grifo; PLOMERÍA
ITEM 1163; Unión roscada; PLOMERÍA
ITEM 1164; Tornillo; FIJACIÓN
ITEM 1165; Tarugo; FIJACIÓN
ITEM 1166; Perno; FIJACIÓN
ITEM 1167; Arnés; SEGURIDAD
ITEM 1168; Llave inglesa; HERRAMIENTAS
ITEM 1169; Manguera; PLOMERÍA
ITEM 1170; Prensa; HERRAMIENTAS
ITEM 1171; Tubo PVC; PLOMERÍA
ITEM 1172; Canaleta; ELECTRICIDAD
ITEM 1173; Guantes; SEGURIDAD
ITEM 1174; Cinta teflón; PLOMERÍA
ITEM 1175; Tornillo; FIJACIÓN
ITEM 1176; Escuadra; HERRAMIENTAS
ITEM 1177; Cepillo metálico; HERRAMIENTAS
ITEM 1178; Escuadra; HERRAMIENTAS
ITEM 1179; Pistola de pintura; PINTURA
ITEM 1180; Interruptor; ELECTRICIDAD
ITEM 1181; Destornillador; HERRAMIENTAS
ITEM 1182; Bandeja para pintura; PINTURA
ITEM 1183; Nivel; HERRAMIENTAS
ITEM 1184; Escuadra; HERRAMIENTAS
ITEM 1185; Canaleta; ELECTRICIDAD
ITEM 1186; Casco; SEGURIDAD
ITEM 1187; Arandela; FIJACIÓN
ITEM 1188; Cepillo metálico; HERRAMIENTAS
ITEM 1189; Bandeja para pintura; PINTURA
ITEM 1190; Pistola de pintura; PINTURA
ITEM 1191; Llave Allen; HERRAMIENTAS
ITEM 1192; Soldador; HERRAMIENTAS
ITEM 1193; Pistola de pintura; PINTURA
ITEM 1194; Guantes; SEGURIDAD
ITEM 1195; Brocha; PINTURA
ITEM 1196; Interruptor; ELECTRICIDAD
ITEM 1197; Chaveta; FIJACIÓN
ITEM 1198; Serrucho; HERRAMIENTAS
ITEM 1199; Mascarilla; SEGURIDAD
ITEM 1200; Hacha; HERRAMIENTAS
